ERS14600532	Papio_hamadryas
ERS14600533	Papio_hamadryas
ERS14600534	Papio_hamadryas
ERS14600535	Papio_hamadryas
ERS14600536	Papio_hamadryas
ERS14600537	Papio_hamadryas
ERS14600538	Papio_anubis
ERS14600539	Papio_anubis
ERS14600540	Papio_anubis
ERS14600541	Papio_anubis
ERS14600542	Papio_anubis
ERS14600543	Papio_anubis
ERS14600544	Papio_anubis
ERS14600545	Papio_anubis
ERS14600546	Papio_anubis
ERS14600547	Papio_anubis
ERS14600548	Papio_anubis
ERS14600549	Papio_anubis
ERS14600550	Papio_anubis
ERS14600551	Papio_anubis
ERS14600552	Papio_anubis
ERS14600553	Papio_anubis
ERS14600554	Papio_anubis
ERS14600555	Papio_anubis
ERS14600556	Papio_anubis
ERS14600557	Papio_anubis
ERS14600558	Papio_anubis
ERS14600559	Papio_anubis
ERS14600560	Papio_anubis
ERS14600561	Papio_anubis
ERS14600562	Papio_anubis
ERS14600563	Papio_cynocephalus
ERS14600564	Papio_cynocephalus
ERS14600565	Papio_cynocephalus
ERS14600566	Papio_cynocephalus
ERS14600567	Papio_kindae
ERS14600568	Papio_kindae
ERS14600569	Papio_kindae
ERS14600570	Papio_cynocephalus
ERS14600571	Papio_cynocephalus
ERS14600572	Papio_cynocephalus
ERS14600573	Papio_cynocephalus
ERS14600574	Papio_cynocephalus
ERS14600575	Papio_cynocephalus
ERS14600576	Papio_kindae
ERS14600577	Papio_kindae
ERS14600578	Papio_kindae
ERS14600579	Papio_cynocephalus
ERS14600580	Papio_cynocephalus
ERS14600581	Papio_cynocephalus
ERS14600582	Papio_cynocephalus
ERS14600583	Papio_cynocephalus
ERS14600584	Papio_cynocephalus
ERS14600585	Papio_cynocephalus
ERS14600586	Papio_cynocephalus
ERS14600587	Papio_cynocephalus
ERS14600588	Papio_cynocephalus
ERS14600589	Papio_cynocephalus
ERS14600590	Papio_cynocephalus
ERS14600591	Papio_cynocephalus
ERS14600592	Papio_cynocephalus
ERS14600593	Papio_cynocephalus
ERS14600594	Papio_kindae
ERS14600595	Papio_kindae
ERS14600596	Papio_kindae
ERS14600597	Papio_kindae
ERS14600598	Papio_kindae
ERS14600599	Papio_kindae
ERS14600600	Papio_kindae
ERS14600601	Papio_kindae
ERS14600602	Papio_kindae
ERS14600603	Papio_kindae
ERS14600604	Papio_kindae
ERS14600605	Papio_kindae
ERS14600606	Papio_kindae
ERS14600607	Papio_kindae
ERS14600608	Papio_kindae
ERS14600609	Papio_kindae
ERS14600610	Papio_kindae
ERS14600611	Papio_kindae
ERS14600612	Aotus_vociferans
ERS14600613	Papio_kindae
ERS14600614	Aotus_vociferans
ERS14600615	Aotus_vociferans
ERS14600616	Aotus_vociferans
ERS14600617	Aotus_azarae
ERS14600618	Aotus_azarae
ERS14600619	Aotus_azarae
ERS14600620	Aotus_azarae
ERS14600621	Aotus_griseimembra
ERS14600622	Aotus_griseimembra
ERS14600623	Aotus_griseimembra
ERS14600624	Aotus_griseimembra
ERS14600625	Aotus_azarae
ERS14600626	Aotus_azarae
ERS14600627	Aotus_azarae
ERS14600628	Aotus_azarae
ERS14600629	Aotus_azarae
ERS14600630	Aotus_azarae
ERS14600631	Aotus_azarae
ERS14600632	Aotus_azarae
ERS14600633	Aotus_azarae
ERS14600634	Aotus_azarae
SRS19847787	Macaca_mulatta
SRS19847788	Macaca_mulatta
SRS19847789	Macaca_mulatta
SRS19847790	Macaca_mulatta
SRS19847791	Macaca_mulatta
SRS19847792	Macaca_mulatta
SRS19847793	Macaca_mulatta
SRS19847794	Macaca_mulatta
SRS19847795	Macaca_mulatta
SRS19847796	Macaca_mulatta
SRS19847797	Macaca_mulatta
SRS19847798	Macaca_fascicularis
SRS19847799	Macaca_fascicularis
SRS19847800	Macaca_fascicularis
SRS19847801	Macaca_fascicularis
SRS19847802	Macaca_fascicularis
SRS19847803	Macaca_fascicularis
SRS19847804	Macaca_fascicularis
SRS19847805	Macaca_fascicularis
SRS19847806	Macaca_fascicularis
SRS19847807	Macaca_fascicularis
SRS19847808	Macaca_fascicularis
SRS19847809	Macaca_fascicularis
SRS19847810	Macaca_fascicularis
SRS19847811	Macaca_fascicularis
SRS19847812	Macaca_fascicularis
SRS19847813	Macaca_fascicularis
SRS19847814	Macaca_fascicularis
SRS19847815	Macaca_fascicularis
SRS19847816	Macaca_fascicularis
SRS19847817	Macaca_fascicularis
SRS19847818	Macaca_fascicularis
SRS19847819	Macaca_fascicularis
SRS19847820	Macaca_fascicularis
SRS19847821	Macaca_fascicularis
SRS19847822	Macaca_fascicularis
SRS19847823	Macaca_fascicularis
SRS19847824	Macaca_fascicularis
SRS19847825	Macaca_fascicularis
SRS19847826	Macaca_fascicularis
SRS19847827	Macaca_fascicularis
SRS19847828	Macaca_fascicularis
SRS19847829	Macaca_fascicularis
SRS19847830	Macaca_fascicularis
SRS19847831	Macaca_fascicularis
SRS19847832	Macaca_fascicularis
SRS19847833	Macaca_fascicularis
SRS19847834	Macaca_fascicularis
SRS19847835	Macaca_fascicularis
SRS19847836	Macaca_fascicularis
SRS19847837	Macaca_fascicularis
SRS19847838	Macaca_fascicularis
SRS19847839	Macaca_fascicularis
SRS19847840	Macaca_fascicularis
SRS19847841	Macaca_fascicularis
SRS19847842	Macaca_fascicularis
SRS19847843	Macaca_fascicularis
SRS19847844	Macaca_fascicularis
SRS19847845	Macaca_fascicularis
SRS19847846	Macaca_fascicularis
SRS19847847	Macaca_fascicularis
SRS19847848	Macaca_fascicularis
